Date,RMT_Raw_S,RMT_Vel_S,RMT_Accel_S,RMT_Zscore_S,RMT_Raw_L,RMT_Vel_L,RMT_Accel_L,RMT_Zscore_L
2016-01-05,,,,,,,,
2016-01-06,,,,,,,,
2016-01-07,,,,,,,,
2016-01-08,,,,,,,,
2016-01-12,,,,,,,,
2016-01-13,,,,,,,,
2016-01-14,,,,,,,,
2016-01-15,,,,,,,,
2016-01-18,,,,,,,,
2016-01-19,,,,,,,,
2016-01-20,,,,,,,,
2016-01-21,,,,,,,,
2016-01-22,,,,,,,,
2016-01-25,,,,,,,,
2016-01-26,,,,,,,,
2016-01-27,,,,,,,,
2016-01-28,,,,,,,,
2016-01-29,,,,,,,,
2016-02-01,,,,,,,,
2016-02-02,,,,,,,,
2016-02-03,,,,,,,,
2016-02-04,,,,,,,,
2016-02-05,,,,,,,,
2016-02-08,,,,,,,,
2016-02-09,,,,,,,,
2016-02-10,,,,,,,,
2016-02-12,,,,,,,,
2016-02-15,,,,,,,,
2016-02-16,,,,,,,,
2016-02-17,,,,,,,,
2016-02-18,,,,,,,,
2016-02-19,,,,,,,,
2016-02-22,,,,,,,,
2016-02-23,,,,,,,,
2016-02-24,,,,,,,,
2016-02-25,,,,,,,,
2016-02-26,,,,,,,,
2016-02-29,,,,,,,,
2016-03-01,,,,,,,,
2016-03-02,,,,,,,,
2016-03-03,,,,,,,,
2016-03-04,,,,,,,,
2016-03-07,,,,,,,,
2016-03-08,,,,,,,,
2016-03-09,,,,,,,,
2016-03-10,,,,,,,,
2016-03-11,,,,,,,,
2016-03-14,,,,,,,,
2016-03-15,,,,,,,,
2016-03-16,,,,,,,,
2016-03-17,,,,,,,,
2016-03-18,,,,,,,,
2016-03-22,,,,,,,,
2016-03-23,,,,,,,,
2016-03-24,,,,,,,,
2016-03-25,,,,,,,,
2016-03-28,,,,,,,,
2016-03-29,,,,,,,,
2016-03-30,,,,,,,,
2016-03-31,,,,,,,,
2016-04-01,,,,,,,,
2016-04-04,,,,,,,,
2016-04-05,,,,,,,,
2016-04-06,,,,,,,,
2016-04-07,,,,,,,,
2016-04-08,,,,,,,,
2016-04-11,,,,,,,,
2016-04-12,,,,,,,,
2016-04-13,,,,,,,,
2016-04-14,,,,,,,,
2016-04-15,,,,,,,,
2016-04-18,,,,,,,,
2016-04-19,,,,,,,,
2016-04-20,,,,,,,,
2016-04-21,,,,,,,,
2016-04-22,,,,,,,,
2016-04-25,,,,,,,,
2016-04-26,,,,,,,,
